,Unnamed: 0,Entity,Code,Year,Annual_biofuel_consumption,Continent
149,,Bahamas,BHS,2006,0,North America
150,,Bahamas,BHS,2007,0,North America
151,,Bahamas,BHS,2008,0,North America
152,,Bahamas,BHS,2009,0,North America
153,,Bahamas,BHS,2010,0,North America
154,,Bahrain,BHR,2000,0,Asia
155,,Bahrain,BHR,2001,0,Asia
156,,Bahrain,BHR,2002,0,Asia
157,,Bahrain,BHR,2003,0,Asia
158,,Bahrain,BHR,2004,0,Asia
159,,Bahrain,BHR,2005,0,Asia
160,,Bahrain,BHR,2006,0,Asia
161,,Bahrain,BHR,2007,0,Asia
162,,Bahrain,BHR,2008,0,Asia
163,,Bahrain,BHR,2009,0,Asia
164,,Bahrain,BHR,2010,0,Asia
165,,Bangladesh,BGD,2000,0,Asia
166,,Bangladesh,BGD,2001,0,Asia
167,,Bangladesh,BGD,2002,0,Asia
168,,Bangladesh,BGD,2003,0,Asia
169,,Bangladesh,BGD,2004,0,Asia
170,,Bangladesh,BGD,2005,0,Asia
171,,Bangladesh,BGD,2006,0,Asia
172,,Bangladesh,BGD,2007,0,Asia
173,,Bangladesh,BGD,2008,0,Asia
174,,Bangladesh,BGD,2009,0,Asia
175,,Bangladesh,BGD,2010,0,Asia
176,,Barbados,BRB,2000,0,North America
177,,Barbados,BRB,2001,0,North America
178,,Barbados,BRB,2002,0,North America
179,,Barbados,BRB,2003,0,North America
180,,Barbados,BRB,2004,0,North America
181,,Barbados,BRB,2005,0.0003,North America
182,,Barbados,BRB,2006,0.0003,North America
183,,Barbados,BRB,2007,0.001,North America
184,,Barbados,BRB,2008,0.001,North America
185,,Barbados,BRB,2009,0.001,North America
186,,Barbados,BRB,2010,0,North America
187,,Belarus,BLR,2000,0,Europe
188,,Belarus,BLR,2001,0,Europe
189,,Belarus,BLR,2002,0,Europe
190,,Belarus,BLR,2003,0,Europe
191,,Belarus,BLR,2004,0,Europe
192,,Belarus,BLR,2005,0,Europe
193,,Belarus,BLR,2006,0,Europe
194,,Belarus,BLR,2007,0.2,Europe
195,,Belarus,BLR,2008,0.5,Europe
196,,Belarus,BLR,2009,0.7,Europe
197,,Belarus,BLR,2010,0,Europe
198,,Belgium,BEL,2000,0,Europe
199,,Belgium,BEL,2001,0,Europe
200,,Belgium,BEL,2002,0,Europe
201,,Belgium,BEL,2003,0,Europe
202,,Belgium,BEL,2004,0,Europe
203,,Belgium,BEL,2005,0.02,Europe
204,,Belgium,BEL,2006,2,Europe
205,,Belgium,BEL,2007,2.3,Europe
206,,Belgium,BEL,2008,7.4,Europe
207,,Belgium,BEL,2009,8.2,Europe
208,,Belgium,BEL,2010,0,Europe
209,,Belize,BLZ,2000,0,North America
210,,Belize,BLZ,2001,0,North America
211,,Belize,BLZ,2002,0,North America
212,,Belize,BLZ,2003,0,North America
213,,Belize,BLZ,2004,0,North America
214,,Belize,BLZ,2005,0,North America
215,,Belize,BLZ,2006,0,North America
216,,Belize,BLZ,2007,0,North America
217,,Belize,BLZ,2008,0,North America
218,,Belize,BLZ,2009,0,North America
219,,Belize,BLZ,2010,0,North America
220,,Benin,BEN,2000,0,Africa
221,,Benin,BEN,2001,0,Africa
222,,Benin,BEN,2002,0,Africa
223,,Benin,BEN,2003,0,Africa
224,,Benin,BEN,2004,0,Africa
225,,Benin,BEN,2005,0,Africa
226,,Benin,BEN,2006,0,Africa
227,,Benin,BEN,2007,0,Africa
228,,Benin,BEN,2008,0,Africa
229,,Benin,BEN,2009,0,Africa
230,,Benin,BEN,2010,0,Africa
231,,Bermuda,BMU,2000,0,
232,,Bermuda,BMU,2001,0,
233,,Bermuda,BMU,2002,0,
234,,Bermuda,BMU,2003,0,
235,,Bermuda,BMU,2004,0,
236,,Bermuda,BMU,2005,0,
237,,Bermuda,BMU,2006,0,
238,,Bermuda,BMU,2007,0,
239,,Bermuda,BMU,2008,0,
240,,Bermuda,BMU,2009,0,
241,,Bermuda,BMU,2010,0,
242,,Bhutan,BTN,2000,0,Asia
243,,Bhutan,BTN,2001,0,Asia
244,,Bhutan,BTN,2002,0,Asia
245,,Bhutan,BTN,2003,0,Asia
246,,Bhutan,BTN,2004,0,Asia
247,,Bhutan,BTN,2005,0,Asia
248,,Bhutan,BTN,2006,0,Asia
249,,Bhutan,BTN,2007,0,Asia
250,,Bhutan,BTN,2008,0,Asia
251,,Bhutan,BTN,2009,0,Asia
252,,Bhutan,BTN,2010,0,Asia
253,,Bolivia,BOL,2000,0,South America
254,,Bolivia,BOL,2001,0,South America
255,,Bolivia,BOL,2002,0,South America
256,,Bolivia,BOL,2003,0,South America
257,,Bolivia,BOL,2004,0,South America
258,,Bolivia,BOL,2005,0,South America
259,,Bolivia,BOL,2006,0,South America
260,,Bolivia,BOL,2007,0,South America
261,,Bolivia,BOL,2008,0,South America
262,,Bolivia,BOL,2009,0,South America
263,,Bolivia,BOL,2010,0,South America
264,,Bonaire Sint Eustatius and Saba,BES,2000,0,
265,,Bonaire Sint Eustatius and Saba,BES,2001,0,
266,,Bonaire Sint Eustatius and Saba,BES,2002,0,
267,,Bonaire Sint Eustatius and Saba,BES,2003,0,
268,,Bonaire Sint Eustatius and Saba,BES,2004,0,
269,,Bonaire Sint Eustatius and Saba,BES,2005,0,
270,,Bonaire Sint Eustatius and Saba,BES,2006,0,
271,,Bonaire Sint Eustatius and Saba,BES,2007,0,
272,,Bonaire Sint Eustatius and Saba,BES,2008,0,
273,,Bonaire Sint Eustatius and Saba,BES,2009,0,
274,,Bonaire Sint Eustatius and Saba,BES,2010,0,
275,,Bosnia and Herzegovina,BIH,2000,0,Europe
276,,Bosnia and Herzegovina,BIH,2001,0,Europe
277,,Bosnia and Herzegovina,BIH,2002,0,Europe
278,,Bosnia and Herzegovina,BIH,2003,0,Europe
279,,Bosnia and Herzegovina,BIH,2004,0,Europe
280,,Bosnia and Herzegovina,BIH,2005,0,Europe
281,,Bosnia and Herzegovina,BIH,2006,0,Europe
282,,Bosnia and Herzegovina,BIH,2007,0,Europe
283,,Bosnia and Herzegovina,BIH,2008,0,Europe
284,,Bosnia and Herzegovina,BIH,2009,0,Europe
285,,Bosnia and Herzegovina,BIH,2010,0,Europe
286,,Botswana,BWA,2000,0,Africa
287,,Botswana,BWA,2001,0,Africa
288,,Botswana,BWA,2002,0,Africa
289,,Botswana,BWA,2003,0,Africa
290,,Botswana,BWA,2004,0,Africa
291,,Botswana,BWA,2005,0,Africa
292,,Botswana,BWA,2006,0,Africa
293,,Botswana,BWA,2007,0,Africa
294,,Botswana,BWA,2008,0,Africa
295,,Botswana,BWA,2009,0,Africa
296,,Botswana,BWA,2010,0,Africa
297,,Brazil,BRA,2000,141.37798,South America
298,,Brazil,BRA,2001,160.16807,South America
299,,Brazil,BRA,2002,144.01577,South America
300,,Brazil,BRA,2003,177.11824,South America
301,,Brazil,BRA,2004,181.9578,South America
302,,Brazil,BRA,2005,195.22592,South America
303,,Brazil,BRA,2006,268.47785,South America
304,,Brazil,BRA,2007,355.65284,South America
