,Entity,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
72,Gibraltar,GIB,0,0,0,0,0,0,0,0,0,0,
73,Greece,GRC,0,0,0,0,0.06,0.9,1.8,1.3,1.4,2.4,
74,Hungary,HUN,0,0,0,0,0.1,0.4,0.5,4,3.9,3.3,
75,Iceland,ISL,0,0,0,0,0,0,0,0,0,0,
76,Ireland,IRL,0,0,0,0,0.02,0.04,0.4,0.6,1.4,1.3,
77,Italy,ITA,2.8,4.1,5.3,6.2,7.8,13.8,10.2,14.1,16.6,16.5,
78,Luxembourg,LUX,0,0,0,0,0,0,0,0,0,0,
79,Macedonia,MKD,0,0,0,0,0,0,0.05,0.01,0.01,0.01,
80,Malta,MLT,0,0,0,0,0.04,0.04,0.02,0.02,0.02,0,
81,Montenegro,MNE,--,--,--,--,--,0,0,0,0,0,
82,Netherlands,NLD,0,0,0,0.2,0.1,0.65,1.9,2.2,5.4,9.5,
83,Norway,NOR,0,0,0,0.1,0.1,0.1,0.1,1,1,0.001,
84,Poland,POL,0,0,1,0.2,3.2,4,2.9,7,9,11,
85,Portugal,PRT,0,0,0,0,0.02,1.6,3.5,3.3,4.9,6,
86,Romania,ROU,0,0,0,0,0,0.2,0.7,1.3,0.7,1.7,
87,Serbia,SRB,--,--,--,--,--,0,0.5,1,1.5,1.5,
88,Slovakia,SVK,0.7,0.1,0.04,0.3,1.5,1.7,1.4,3.6,4,4,
89,Slovenia,SVN,0,0,0,0,0.1,0.1,0.1,0.16,0.14,0.4,
90,Spain,ESP,1.6,3.5,5,6.2,8.2,8.2,10.5,10.3,22,24,
91,Sweden,SWE,0.46,1.06,1.08,1.4,1.6,2.3,3.7,4.5,6.5,7.5,
92,Switzerland,CHE,0,0,0,0.1,0.12,0.22,0.26,0.26,0.1,0.1,
93,Turkey,TUR,0,0,0,0,0.5,1.1,1,1.1,1,1,
94,United Kingdom,GBR,0,0.06,0.2,0.2,0.9,5,8.3,6.7,5.3,5.3,
95,Eurasia,,0,0,0,0.34,0.6,0.82,1.37,3.2,5.1,4.36,
96,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,
97,Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,
98,Belarus,BLR,0,0,0,0,0,0,0,0.2,0.5,0.7,
99,Estonia,EST,0,0,0,0,0.1,0.02,0.02,0.4,0.5,0.06,
100,Former U.S.S.R.,,--,--,--,--,--,--,--,--,--,--,
101,Georgia,GEO,0,0,0,0,0,0,0,0,0,0,
102,Kazakhstan,KAZ,0,0,0,0,0,0,0.05,0,0.5,0,
103,Kyrgyzstan,KGZ,0,0,0,0,0,0,0,0,0,0,
104,Latvia,LVA,0,0,0,0.2,0.3,0.3,0.5,0.9,1.2,1.1,
105,Lithuania,LTU,0,0,0,0.14,0.2,0.5,0.8,1.7,2.4,2.5,
106,Moldova,MDA,0,0,0,0,0,0,0,0,0,0,
107,Russia,RUS,0,0,0,0,0,0,0,0,0,0,
108,Tajikistan,TJK,0,0,0,0,0,0,0,0,0,0,
109,Turkmenistan,TKM,0,0,0,0,0,0,0,0,0,0,
110,Ukraine,UKR,0,0,0,0,0,0,0,0,0,0,
111,Uzbekistan,UZB,0,0,0,0,0,0,0,0,0,0,
112,Middle East,,0,0,0,0,0,0,0,0,0,0.1,
113,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,
114,Iran,IRN,0,0,0,0,0,0,0,0,0,0,
115,Iraq,IRQ,0,0,0,0,0,0,0,0,0,0,
116,Israel,ISR,0,0,0,0,0,0,0,0,0,0.1,
117,Jordan,JOR,0,0,0,0,0,0,0,0,0,0,
118,Kuwait,KWT,0,0,0,0,0,0,0,0,0,0,
119,Lebanon,LBN,0,0,0,0,0,0,0,0,0,0,
120,Oman,OMN,0,0,0,0,0,0,0,0,0,0,
121,Palestine,PSE,0,0,0,0,0,0,0,0,0,0,
122,Qatar,QAT,0,0,0,0,0,0,0,0,0,0,
123,Saudi Arabia,SAU,0,0,0,0,0,0,0,0,0,0,
124,Syria,SYR,0,0,0,0,0,0,0,0,0,0,
125,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,
126,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,
127,Africa,,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.345,0.51,0.99,
128,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,
129,Angola,AGO,0,0,0,0,0,0,0,0,0,0,
130,Benin,BEN,0,0,0,0,0,0,0,0,0,0,
131,Botswana,BWA,0,0,0,0,0,0,0,0,0,0,
132,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,
133,Burundi,BDI,0,0,0,0,0,0,0,0,0,0,
134,Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,
135,Cape Verde,CPV,0,0,0,0,0,0,0,0,0,0,
136,Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,
137,Chad,TCD,0,0,0,0,0,0,0,0,0,0,
138,Comoros,COM,0,0,0,0,0,0,0,0,0,0,
139,Congo (Brazzaville),,0,0,0,0,0,0.1,0,0,0,0,
140,Congo (Kinshasa),,0,0,0,0,0,0,0,0,0,0,
141,Cote dIvoire (IvoryCoast),,0,0,0,0,0,0,0,0,0,0,
142,Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,
143,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,
144,Equatorial Guinea,GNQ,0,0,0,0,0,0,0,0,0,0,
145,Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,
146,Ethiopia,ETH,0,0,0,0,0,0,0,0.1,0.1,0.1,
147,Gabon,GAB,0,0,0,0,0,0,0,0,0,0,
